Equipo,Posicion,Puntos,Partidos_jugados,Partidos_ganados,Partidos_empatados,Partidos_perdidos,Goles_favor,Goles_contra,Diferencia_goles
FC Barcelona,1º,52,21,17,1,3,57,22,35
Real Madrid,2º,51,21,16,3,2,45,17,28
Atlético de Madrid,3º,44,21,13,5,3,38,17,21
Villarreal CF,4º,41,20,13,2,5,37,21,16
RCD Espanyol,5º,34,21,10,4,7,25,25,0
Real Betis,6º,32,21,8,8,5,34,27,7
Celta de Vigo,7º,32,21,8,8,5,29,23,6
Real Sociedad,8º,27,21,7,6,8,29,29,0
CA Osasuna,9º,25,21,7,4,10,24,25,-1
Girona FC,10º,25,21,6,7,8,21,35,-14
Elche CF,11º,24,21,5,9,7,29,29,0
Sevilla FC,12º,24,21,7,3,11,28,33,-5
Athletic Club,13º,24,21,7,3,11,20,30,-10
Valencia CF,14º,23,21,5,8,8,22,33,-11
Deportivo Alavés,15º,22,21,6,4,11,18,26,-8
Rayo Vallecano,16º,22,21,5,7,9,17,28,-11
Getafe CF,17º,22,21,6,4,11,16,27,-11
RCD Mallorca,18º,21,21,5,6,10,24,33,-9
Levante UD,19º,17,20,4,5,11,24,34,-10
Real Oviedo,20º,13,21,2,7,12,11,34,-23
