Equipo,Posicion,Puntos,Partidos_jugados,Partidos_ganados,Partidos_empatados,Partidos_perdidos,Goles_favor,Goles_contra,Diferencia_goles,Valor_Mercado,Lesionados,Estadio,Capacidad,Ciudad,Valor_Por_Punto,Goles_Por_Partido
FC Barcelona,1º,52,21,17,1,3,57,22,35,1110000000,3,Spotify Camp Nou,99354,Barcelona,21346153.846153848,2.7142857142857144
Real Madrid,2º,51,21,16,3,2,45,17,28,1350000000,4,Santiago Bernabéu,83088,Madrid,26470588.23529412,2.142857142857143
Atlético de Madrid,3º,44,21,13,5,3,38,17,21,526000000,2,Riyadh Air Metropolitano,70460,Madrid,11954545.454545455,1.8095238095238095
Villarreal CF,4º,41,20,13,2,5,37,21,16,255800000,7,La Cerámica,23500,Villarreal,6239024.390243903,1.85
RCD Espanyol,5º,34,21,10,4,7,25,25,0,102700000,1,RCDE Stadium,40000,Cornellá de Llobregat,3020588.2352941176,1.1904761904761905
Real Betis,6º,32,21,8,8,5,34,27,7,219800000,7,Estadio de La Cartuja,68887,Sevilla,6868750.0,1.619047619047619
Celta de Vigo,7º,32,21,8,8,5,29,23,6,149400000,2,Abanca-Balaídos,24870,Vigo,4668750.0,1.380952380952381
Real Sociedad,8º,27,21,7,6,8,29,29,0,245200000,6,Estadio de Anoeta,39313,San Sebastián,9081481.481481481,1.380952380952381
CA Osasuna,9º,25,21,7,4,10,24,25,-1,95500000,1,El Sadar,23576,Pamplona,3820000.0,1.1428571428571428
Girona FC,10º,25,21,6,7,8,21,35,-14,155000000,5,Municipal de Montilivi,14624,Gerona,6200000.0,1.0
Elche CF,11º,24,21,5,9,7,29,29,0,103200000,4,Martínez Valero,33732,Elche,4300000.0,1.380952380952381
Sevilla FC,12º,24,21,7,3,11,28,33,-5,131600000,6,Ramón Sánchez-Pizjuán,43883,Sevilla,5483333.333333333,1.3333333333333333
Athletic Club,13º,24,21,7,3,11,20,30,-10,303000000,9,San Mamés,53289,Bilbao,12625000.0,0.9523809523809523
Valencia CF,14º,23,21,5,8,8,22,33,-11,169500000,4,Mestalla,49430,Valencia,7369565.217391305,1.0476190476190477
Deportivo Alavés,15º,22,21,6,4,11,18,26,-8,61000000,1,Mendizorroza,20320,Vitoria,2772727.272727273,0.8571428571428571
Rayo Vallecano,16º,22,21,5,7,9,17,28,-11,108800000,5,Estadio de Vallecas,14708,Madrid,4945454.545454546,0.8095238095238095
Getafe CF,17º,22,21,6,4,11,16,27,-11,81400000,5,Coliseum,16500,Getafe,3700000.0,0.7619047619047619
RCD Mallorca,18º,21,21,5,6,10,24,33,-9,81400000,4,Son Moix,23142,Palma de Mallorca,3876190.476190476,1.1428571428571428
Levante UD,19º,17,20,4,5,11,24,34,-10,86650000,4,Ciudad de Valencia,26354,Valencia,5097058.823529412,1.2
Real Oviedo,20º,13,21,2,7,12,11,34,-23,67600000,3,Carlos Tartiere,30500,Oviedo,5200000.0,0.5238095238095238
