Fecha,Hora,Competicion,Local,Visitante,Estadio,Ciudad,En_casa,Clima,Temperatura
DOM 01.02.2026,21:00,LALIGA EA SPORTS,Athletic Club,Real Sociedad,"('San Mamés', 53289)",Bilbao,True,Cielo cubierto,9°C
SAB 31.01.2026,18:30,LALIGA EA SPORTS,Levante UD,Atlético de Madrid,"('Ciudad de Valencia', 26354)",Valencia,False,Soleado,13°C
SÁB  31.01.2026,16:15,LALIGA EA SPORTS,CA Osasuna,Villarreal CF,"('El Sadar', 23576)",Pamplona,True,Lluvia dispersa cercana,7°C
DOM  01.02.2026,18:30,LALIGA EA SPORTS,Getafe CF,Celta de Vigo,"('Coliseum', 16500)",Getafe,False,Lluvia dispersa cercana,7°C
VIE 30.01.2026,21:00,LALIGA EA SPORTS,RCD Espanyol,Deportivo Alavés,"('RCDE Stadium', 40000)",Cornellá de Llobregat,False,Nublado,11°C
SÁB  31.01.2026,21:00,LALIGA EA SPORTS,Elche CF,FC Barcelona,"('Martínez Valero', 33732)",Elche,True,Despejado,11°C
SAB 31.01.2026,21:00,LALIGA EA SPORTS,Elche CF,FC Barcelona,"('Martínez Valero', 33732)",Elche,False,Despejado,11°C
DOM  01.02.2026,18:30,LALIGA EA SPORTS,Getafe CF,Celta de Vigo,"('Coliseum', 16500)",Getafe,True,Lluvia dispersa cercana,7°C
SÁB  31.01.2026,14:00,LALIGA EA SPORTS,Real Oviedo,Girona FC,"('Carlos Tartiere', 30500)",Oviedo,False,Soleado,12°C
SAB 31.01.2026,18:30,LALIGA EA SPORTS,Levante UD,Atlético de Madrid,"('Ciudad de Valencia', 26354)",Valencia,True,Soleado,13°C
DOM 01.02.2026,14:00,LALIGA EA SPORTS,Real Madrid,Rayo Vallecano,"('Santiago Bernabéu', 83088)",Madrid,False,Lluvia dispersa cercana,6°C
VIE 30.01.2026,21:00,LALIGA EA SPORTS,RCD Espanyol,Deportivo Alavés,"('RCDE Stadium', 40000)",Cornellá de Llobregat,True,Nublado,11°C
LUN  02.02.2026,21:00,LALIGA EA SPORTS,RCD Mallorca,Sevilla FC,"('Son Moix', 23142)",Palma de Mallorca,True,Soleado,20°C
DOM 01.02.2026,16:15,LALIGA EA SPORTS,Real Betis,Valencia CF,"('Estadio de La Cartuja', 68887)",Sevilla,True,Lluvia dispersa cercana,14°C
DOM  01.02.2026,14:00,LALIGA EA SPORTS,Real Madrid,Rayo Vallecano,"('Santiago Bernabéu', 83088)",Madrid,True,Lluvia dispersa cercana,6°C
SAB 31.01.2026,14:00,LALIGA EA SPORTS,Real Oviedo,Girona FC,"('Carlos Tartiere', 30500)",Oviedo,True,Soleado,12°C
DOM 01.02.2026,21:00,LALIGA EA SPORTS,Athletic Club,Real Sociedad,"('San Mamés', 53289)",Bilbao,False,Cielo cubierto,9°C
LUN 02.02.2026,21:00,LALIGA EA SPORTS,RCD Mallorca,Sevilla FC,"('Son Moix', 23142)",Palma de Mallorca,False,Soleado,20°C
DOM  01.02.2026,16:15,LALIGA EA SPORTS,Real Betis,Valencia CF,"('Estadio de La Cartuja', 68887)",Sevilla,False,Lluvia dispersa cercana,14°C
SAB 31.01.2026,16:15,LALIGA EA SPORTS,CA Osasuna,Villarreal CF,"('El Sadar', 23576)",Pamplona,False,Lluvia dispersa cercana,7°C
