Fecha,Hora,Competicion,Local,Visitante,Estadio,Ciudad,Clima,Temperatura
DOM 01.02.2026,21:00,LALIGA EA SPORTS,Athletic Club,Real Sociedad,"('San Mamés', 53289)",Bilbao,,
SAB 31.01.2026,18:30,LALIGA EA SPORTS,Levante UD,Atlético de Madrid,"('Ciudad de Valencia', 26354)",Valencia,Parcialmente nublado,13°C
SÁB  31.01.2026,16:15,LALIGA EA SPORTS,CA Osasuna,Villarreal CF,"('El Sadar', 23576)",Pamplona,Lluvia dispersa cercana,8°C
DOM  01.02.2026,18:30,LALIGA EA SPORTS,Getafe CF,Celta de Vigo,"('Coliseum', 16500)",Getafe,,
VIE 30.01.2026,21:00,LALIGA EA SPORTS,RCD Espanyol,Deportivo Alavés,"('RCDE Stadium', 40000)",Cornellá de Llobregat,Parcialmente nublado,12°C
SAB 31.01.2026,21:00,LALIGA EA SPORTS,Elche CF,FC Barcelona,"('Martínez Valero', 33732)",Elche,Despejado,10°C
SAB 31.01.2026,14:00,LALIGA EA SPORTS,Real Oviedo,Girona FC,"('Carlos Tartiere', 30500)",Oviedo,Nublado,12°C
DOM 01.02.2026,14:00,LALIGA EA SPORTS,Real Madrid,Rayo Vallecano,"('Santiago Bernabéu', 83088)",Madrid,,
LUN 02.02.2026,21:00,LALIGA EA SPORTS,RCD Mallorca,Sevilla FC,"('Son Moix', 23142)",Palma de Mallorca,,
DOM 01.02.2026,16:15,LALIGA EA SPORTS,Real Betis,Valencia CF,"('Estadio de La Cartuja', 68887)",Sevilla,,
