Fecha,Hora,Competicion,Local,Visitante,Estadio,Ciudad,En_casa
DOM 01.02.2026,14:00,LALIGA HYPERMOTION,UD Almería,AD Ceuta FC,"('UD Almería Stadium', 18331)",Almería,False
SAB 31.01.2026,16:15,LALIGA HYPERMOTION,Albacete BP,Real Zaragoza,"('Carlos Belmonte', 18000)",Albacete,True
SAB 31.01.2026,16:15,LALIGA HYPERMOTION,Burgos CF,CD Leganés,"('El Plantío', 12194)",Burgos,True
DOM 01.02.2026,18:30,LALIGA HYPERMOTION,SD Huesca,Cádiz CF,"('El Alcoraz', 9128)",Huesca,False
DOM 01.02.2026,18:30,LALIGA HYPERMOTION,CD Castellón,FC Andorra,"('Skyfi Castalia', 15500)",Castellón de la Plana,True
SAB 31.01.2026,16:15,LALIGA HYPERMOTION,Burgos CF,CD Leganés,"('El Plantío', 12194)",Burgos,False
LUN 02.02.2026,20:30,LALIGA HYPERMOTION,CD Mirandés,Málaga CF,"('Anduva', 5759)",Miranda de Ebro,True
SAB 31.01.2026,21:00,LALIGA HYPERMOTION,Córdoba CF,Real Valladolid,"('Bahrain Victorious Nuevo Arcángel', 21822)",Córdoba,True
SAB 31.01.2026,18:30,LALIGA HYPERMOTION,Cultural Leonesa,RC Deportivo,"('Reino de León', 13346)",León,True
DOM 01.02.2026,18:30,LALIGA HYPERMOTION,CD Castellón,FC Andorra,"('Skyfi Castalia', 15500)",Castellón de la Plana,False
DOM 01.02.2026,21:00,LALIGA HYPERMOTION,Granada CF,Racing de Santander,"('Nuevo Los Cármenes', 19336)",Granada,True
LUN 02.02.2026,20:30,LALIGA HYPERMOTION,CD Mirandés,Málaga CF,"('Anduva', 5759)",Miranda de Ebro,False
DOM 01.02.2026,21:00,LALIGA HYPERMOTION,Granada CF,Racing de Santander,"('Nuevo Los Cármenes', 19336)",Granada,False
VIE 30.01.2026,20:30,LALIGA HYPERMOTION,Real Sociedad B,UD Las Palmas,"('Estadio Zubieta', 2500)",San Sebastián,True
SAB 31.01.2026,18:30,LALIGA HYPERMOTION,Cultural Leonesa,RC Deportivo,"('Reino de León', 13346)",León,False
DOM 01.02.2026,16:15,LALIGA HYPERMOTION,SD Eibar,Real Sporting,"('Ipurúa', 8164)",Éibar,False
SAB 31.01.2026,21:00,LALIGA HYPERMOTION,Córdoba CF,Real Valladolid,"('Bahrain Victorious Nuevo Arcángel', 21822)",Córdoba,False
SAB 31.01.2026,16:15,LALIGA HYPERMOTION,Albacete BP,Real Zaragoza,"('Carlos Belmonte', 18000)",Albacete,False
DOM 01.02.2026,16:15,LALIGA HYPERMOTION,SD Eibar,Real Sporting,"('Ipurúa', 8164)",Éibar,True
DOM 01.02.2026,18:30,LALIGA HYPERMOTION,SD Huesca,Cádiz CF,"('El Alcoraz', 9128)",Huesca,True
DOM 01.02.2026,14:00,LALIGA HYPERMOTION,UD Almería,AD Ceuta FC,"('UD Almería Stadium', 18331)",Almería,True
VIE 30.01.2026,20:30,LALIGA HYPERMOTION,Real Sociedad B,UD Las Palmas,"('Estadio Zubieta', 2500)",San Sebastián,False
