Fecha,Hora,Competicion,Local,Visitante,Estadio,Ciudad
DOM  01.02.2026,14:00,LALIGA HYPERMOTION,UD Almería,AD Ceuta FC,"('UD Almería Stadium', 18331)",Almería
SÁB  31.01.2026,16:15,LALIGA HYPERMOTION,Albacete BP,Real Zaragoza,"('Carlos Belmonte', 18000)",Albacete
SAB 31.01.2026,16:15,LALIGA HYPERMOTION,Burgos CF,CD Leganés,"('El Plantío', 12194)",Burgos
DOM 01.02.2026,18:30,LALIGA HYPERMOTION,SD Huesca,Cádiz CF,"('El Alcoraz', 9128)",Huesca
DOM 01.02.2026,18:30,LALIGA HYPERMOTION,CD Castellón,FC Andorra,"('Skyfi Castalia', 15500)",Castellón de la Plana
LUN  02.02.2026,20:30,LALIGA HYPERMOTION,CD Mirandés,Málaga CF,"('Anduva', 5759)",Miranda de Ebro
SÁB  31.01.2026,21:00,LALIGA HYPERMOTION,Córdoba CF,Real Valladolid,"('Bahrain Victorious Nuevo Arcángel', 21822)",Córdoba
SÁB  31.01.2026,18:30,LALIGA HYPERMOTION,Cultural Leonesa,RC Deportivo,"('Reino de León', 13346)",León
DOM 01.02.2026,21:00,LALIGA HYPERMOTION,Granada CF,Racing de Santander,"('Nuevo Los Cármenes', 19336)",Granada
VIE 30.01.2026,20:30,LALIGA HYPERMOTION,Real Sociedad B,UD Las Palmas,"('Estadio Zubieta', 2500)",San Sebastián
DOM 01.02.2026,16:15,LALIGA HYPERMOTION,SD Eibar,Real Sporting,"('Ipurúa', 8164)",Éibar
